CMDLINE python Benchmark.py
MEM 4.875000 1777129996.1202
MEM 15.500000 1777129996.2222
MEM 22.000000 1777129996.3227
MEM 31.433594 1777129996.4231
MEM 40.183594 1777129996.5235
MEM 43.933594 1777129996.6239
MEM 51.496094 1777129996.7254
MEM 54.746094 1777129996.8258
MEM 62.746094 1777129996.9262
MEM 76.281250 1777129997.0265
MEM 95.781250 1777129997.1270
MEM 117.125000 1777129997.2274
MEM 136.625000 1777129997.3278
MEM 151.625000 1777129997.4285
MEM 155.750000 1777129997.5289
MEM 160.500000 1777129997.6295
MEM 167.375000 1777129997.7299
MEM 170.500000 1777129997.8304
MEM 175.500000 1777129997.9309
MEM 179.625000 1777129998.0313
MEM 183.375000 1777129998.1318
MEM 188.250000 1777129998.2323
MEM 192.125000 1777129998.3328
MEM 195.625000 1777129998.4333
MEM 201.000000 1777129998.5337
MEM 202.875000 1777129998.6342
MEM 206.000000 1777129998.7346
MEM 212.375000 1777129998.8355
MEM 216.625000 1777129998.9363
MEM 216.625000 1777129999.0369
MEM 219.750000 1777129999.1380
MEM 224.625000 1777129999.2385
MEM 230.500000 1777129999.3389
MEM 233.250000 1777129999.4394
MEM 233.500000 1777129999.5398
MEM 239.625000 1777129999.6402
MEM 246.250000 1777129999.7406
MEM 253.125000 1777129999.8410
MEM 253.500000 1777129999.9415
MEM 254.125000 1777130000.0420
MEM 260.625000 1777130000.1424
MEM 267.500000 1777130000.2429
MEM 274.125000 1777130000.3433
MEM 278.625000 1777130000.4438
MEM 278.625000 1777130000.5443
MEM 279.000000 1777130000.6448
MEM 285.500000 1777130000.7451
MEM 292.250000 1777130000.8454
MEM 298.500000 1777130000.9457
MEM 305.500000 1777130001.0462
MEM 309.625000 1777130001.1467
MEM 309.625000 1777130001.2473
MEM 309.625000 1777130001.3478
MEM 313.500000 1777130001.4483
MEM 320.500000 1777130001.5487
MEM 327.625000 1777130001.6493
MEM 335.000000 1777130001.7496
MEM 341.875000 1777130001.8501
MEM 347.875000 1777130001.9506
MEM 347.875000 1777130002.0514
MEM 347.875000 1777130002.1520
MEM 347.875000 1777130002.2525
MEM 353.500000 1777130002.3529
MEM 360.000000 1777130002.4534
MEM 367.000000 1777130002.5538
MEM 374.125000 1777130002.6544
MEM 381.125000 1777130002.7548
MEM 388.375000 1777130002.8552
MEM 394.625000 1777130002.9556
MEM 394.625000 1777130003.0561
MEM 394.625000 1777130003.1565
MEM 394.625000 1777130003.2571
MEM 395.250000 1777130003.3574
MEM 401.625000 1777130003.4578
MEM 408.375000 1777130003.5582
MEM 415.375000 1777130003.6586
MEM 422.625000 1777130003.7590
MEM 429.625000 1777130003.8593
MEM 436.250000 1777130003.9596
MEM 443.375000 1777130004.0603
MEM 450.500000 1777130004.1607
MEM 452.125000 1777130004.2613
MEM 452.125000 1777130004.3618
MEM 452.125000 1777130004.4623
MEM 452.125000 1777130004.5629
MEM 452.125000 1777130004.6634
MEM 452.125000 1777130004.7639
MEM 454.125000 1777130004.8643
MEM 460.500000 1777130004.9647
MEM 466.875000 1777130005.0651
MEM 473.750000 1777130005.1656
MEM 479.625000 1777130005.2664
MEM 486.750000 1777130005.3668
MEM 493.250000 1777130005.4674
MEM 500.125000 1777130005.5680
MEM 507.000000 1777130005.6685
MEM 513.875000 1777130005.7689
MEM 520.875000 1777130005.8695
MEM 524.250000 1777130005.9700
MEM 524.250000 1777130006.0706
MEM 524.250000 1777130006.1711
MEM 524.250000 1777130006.2716
MEM 524.250000 1777130006.3721
MEM 524.250000 1777130006.4726
MEM 526.250000 1777130006.5730
MEM 533.000000 1777130006.6735
MEM 540.125000 1777130006.7738
MEM 547.000000 1777130006.8742
MEM 553.875000 1777130006.9746
MEM 560.250000 1777130007.0749
MEM 567.375000 1777130007.1752
MEM 573.250000 1777130007.2758
MEM 579.750000 1777130007.3763
MEM 585.750000 1777130007.4767
MEM 591.625000 1777130007.5772
MEM 598.250000 1777130007.6777
MEM 605.375000 1777130007.7781
MEM 612.000000 1777130007.8786
MEM 612.000000 1777130007.9792
MEM 612.000000 1777130008.0797
MEM 612.000000 1777130008.1802
MEM 612.000000 1777130008.2807
MEM 612.000000 1777130008.3813
MEM 612.000000 1777130008.4818
MEM 612.000000 1777130008.5823
MEM 613.125000 1777130008.6827
MEM 615.625000 1777130008.7835
MEM 620.750000 1777130008.8841
MEM 625.625000 1777130008.9848
MEM 630.750000 1777130009.0859
MEM 636.000000 1777130009.1864
MEM 641.625000 1777130009.2870
MEM 647.000000 1777130009.3877
MEM 651.375000 1777130009.4883
MEM 657.000000 1777130009.5887
MEM 662.625000 1777130009.6893
MEM 669.125000 1777130009.7897
MEM 675.875000 1777130009.8901
MEM 682.500000 1777130009.9906
MEM 689.250000 1777130010.0910
MEM 696.000000 1777130010.1914
MEM 703.125000 1777130010.2918
MEM 710.375000 1777130010.3922
MEM 717.000000 1777130010.4926
MEM 720.625000 1777130010.5934
MEM 720.625000 1777130010.6941
MEM 720.625000 1777130010.7945
MEM 720.625000 1777130010.8950
MEM 720.625000 1777130010.9955
MEM 720.625000 1777130011.0960
MEM 720.625000 1777130011.1966
MEM 720.625000 1777130011.2972
MEM 720.625000 1777130011.3977
MEM 720.625000 1777130011.4982
MEM 725.000000 1777130011.5988
MEM 732.125000 1777130011.6993
MEM 739.375000 1777130011.8000
MEM 746.875000 1777130011.9009
MEM 753.625000 1777130012.0014
MEM 760.125000 1777130012.1017
MEM 767.000000 1777130012.2022
MEM 774.000000 1777130012.3025
MEM 781.250000 1777130012.4029
MEM 788.125000 1777130012.5034
MEM 794.750000 1777130012.6037
MEM 801.750000 1777130012.7041
MEM 809.125000 1777130012.8045
MEM 816.500000 1777130012.9049
MEM 823.500000 1777130013.0053
MEM 830.500000 1777130013.1057
MEM 837.500000 1777130013.2060
MEM 844.500000 1777130013.3064
MEM 850.875000 1777130013.4068
MEM 855.000000 1777130013.5073
MEM 855.000000 1777130013.6078
MEM 855.000000 1777130013.7084
MEM 855.000000 1777130013.8089
MEM 855.000000 1777130013.9094
MEM 855.000000 1777130014.0099
MEM 855.000000 1777130014.1104
MEM 855.000000 1777130014.2108
MEM 855.000000 1777130014.3113
MEM 855.000000 1777130014.4118
MEM 855.000000 1777130014.5123
MEM 855.125000 1777130014.6128
MEM 861.125000 1777130014.7132
MEM 867.250000 1777130014.8137
MEM 873.750000 1777130014.9141
MEM 879.875000 1777130015.0146
MEM 886.000000 1777130015.1150
MEM 892.375000 1777130015.2155
MEM 898.625000 1777130015.3162
MEM 904.750000 1777130015.4167
MEM 910.375000 1777130015.5171
MEM 915.875000 1777130015.6177
MEM 922.125000 1777130015.7181
MEM 928.375000 1777130015.8185
MEM 934.750000 1777130015.9189
MEM 940.875000 1777130016.0194
MEM 947.125000 1777130016.1198
MEM 953.625000 1777130016.2202
MEM 960.000000 1777130016.3207
MEM 966.375000 1777130016.4212
MEM 972.125000 1777130016.5217
MEM 977.875000 1777130016.6222
MEM 984.000000 1777130016.7227
MEM 990.250000 1777130016.8232
MEM 996.750000 1777130016.9237
MEM 1002.375000 1777130017.0241
MEM 1008.500000 1777130017.1245
MEM 1014.375000 1777130017.2249
MEM 1020.625000 1777130017.3254
MEM 1021.375000 1777130017.4259
MEM 1021.375000 1777130017.5264
MEM 1021.375000 1777130017.6270
MEM 1021.375000 1777130017.7274
MEM 1021.375000 1777130017.8279
MEM 1021.375000 1777130017.9284
MEM 1021.375000 1777130018.0288
MEM 1021.375000 1777130018.1293
MEM 1021.375000 1777130018.2298
MEM 1021.375000 1777130018.3303
MEM 1021.375000 1777130018.4308
MEM 1021.375000 1777130018.5314
MEM 1021.375000 1777130018.6319
MEM 1021.375000 1777130018.7323
MEM 1022.875000 1777130018.8330
MEM 1029.000000 1777130018.9336
MEM 1035.000000 1777130019.0341
MEM 1041.125000 1777130019.1348
MEM 1045.875000 1777130019.2352
MEM 1051.875000 1777130019.3356
MEM 1058.125000 1777130019.4360
MEM 1063.625000 1777130019.5365
MEM 1069.250000 1777130019.6369
MEM 1075.125000 1777130019.7374
MEM 1081.375000 1777130019.8378
MEM 1087.125000 1777130019.9382
MEM 1093.375000 1777130020.0385
MEM 1099.000000 1777130020.1389
MEM 1105.250000 1777130020.2393
MEM 1111.500000 1777130020.3396
MEM 1117.875000 1777130020.4400
MEM 1124.000000 1777130020.5404
MEM 1129.750000 1777130020.6409
MEM 1136.125000 1777130020.7413
MEM 1142.000000 1777130020.8417
MEM 1148.250000 1777130020.9422
MEM 1154.500000 1777130021.0426
MEM 1160.750000 1777130021.1431
MEM 1167.125000 1777130021.2436
MEM 1173.375000 1777130021.3441
MEM 1180.000000 1777130021.4445
MEM 1186.250000 1777130021.5449
MEM 1191.250000 1777130021.6454
MEM 1197.375000 1777130021.7457
MEM 1203.875000 1777130021.8462
MEM 1209.750000 1777130021.9466
MEM 1215.375000 1777130022.0471
MEM 1221.625000 1777130022.1481
MEM 1225.000000 1777130022.2486
MEM 1225.000000 1777130022.3491
MEM 1225.000000 1777130022.4497
MEM 1225.000000 1777130022.5502
MEM 1225.000000 1777130022.6507
MEM 1225.000000 1777130022.7511
MEM 1225.000000 1777130022.8517
MEM 1225.000000 1777130022.9522
MEM 1225.000000 1777130023.0527
MEM 1225.000000 1777130023.1533
MEM 1225.000000 1777130023.2537
MEM 1225.000000 1777130023.3543
MEM 1225.000000 1777130023.4547
MEM 1225.000000 1777130023.5553
MEM 1225.000000 1777130023.6557
MEM 1225.000000 1777130023.7562
MEM 1225.000000 1777130023.8567
MEM 1225.000000 1777130023.9573
MEM 1226.500000 1777130024.0577
MEM 1232.875000 1777130024.1581
MEM 1239.125000 1777130024.2585
MEM 1245.125000 1777130024.3589
MEM 1251.250000 1777130024.4593
MEM 1257.500000 1777130024.5597
MEM 1263.500000 1777130024.6602
MEM 1269.250000 1777130024.7609
MEM 1275.250000 1777130024.8614
MEM 1281.375000 1777130024.9619
MEM 1287.375000 1777130025.0623
MEM 1293.250000 1777130025.1629
MEM 1299.125000 1777130025.2634
MEM 1305.500000 1777130025.3639
MEM 1311.625000 1777130025.4643
MEM 1317.625000 1777130025.5649
MEM 1322.625000 1777130025.6654
MEM 1327.375000 1777130025.7657
MEM 1333.500000 1777130025.8661
MEM 1339.625000 1777130025.9666
MEM 1344.375000 1777130026.0670
MEM 1350.250000 1777130026.1674
MEM 1356.375000 1777130026.2679
MEM 1362.125000 1777130026.3683
MEM 1367.875000 1777130026.4688
MEM 1374.000000 1777130026.5694
MEM 1379.375000 1777130026.6697
MEM 1384.875000 1777130026.7701
MEM 1391.000000 1777130026.8705
MEM 1397.375000 1777130026.9709
MEM 1403.125000 1777130027.0713
MEM 1409.500000 1777130027.1717
MEM 1415.625000 1777130027.2721
MEM 1420.375000 1777130027.3725
MEM 1424.625000 1777130027.4729
MEM 1429.750000 1777130027.5734
MEM 1435.000000 1777130027.6739
MEM 1438.625000 1777130027.7743
MEM 1443.250000 1777130027.8747
MEM 1449.125000 1777130027.9752
MEM 1454.625000 1777130028.0757
MEM 1460.500000 1777130028.1764
MEM 1465.875000 1777130028.2768
MEM 1471.750000 1777130028.3773
MEM 1475.875000 1777130028.4777
MEM 1475.875000 1777130028.5782
MEM 1475.875000 1777130028.6788
MEM 1475.875000 1777130028.7796
MEM 1475.875000 1777130028.8802
MEM 1475.875000 1777130028.9808
MEM 1475.875000 1777130029.0814
MEM 1475.875000 1777130029.1819
MEM 1475.875000 1777130029.2824
MEM 1475.875000 1777130029.3829
MEM 1475.875000 1777130029.4835
MEM 1475.875000 1777130029.5840
MEM 1475.875000 1777130029.6846
MEM 1475.875000 1777130029.7850
MEM 1475.875000 1777130029.8855
MEM 1475.875000 1777130029.9859
MEM 1475.875000 1777130030.0865
MEM 1475.875000 1777130030.1869
MEM 1475.875000 1777130030.2875
MEM 1475.875000 1777130030.3879
MEM 1475.875000 1777130030.4884
MEM 1475.875000 1777130030.5889
MEM 1475.875000 1777130030.6894
MEM 1481.000000 1777130030.7898
MEM 1486.750000 1777130030.8902
MEM 1492.875000 1777130030.9907
MEM 1498.875000 1777130031.0913
MEM 1504.750000 1777130031.1917
MEM 1510.750000 1777130031.2923
MEM 1517.000000 1777130031.3927
MEM 1522.375000 1777130031.4930
MEM 1527.125000 1777130031.5934
MEM 1532.625000 1777130031.6939
MEM 1537.625000 1777130031.7943
MEM 1543.375000 1777130031.8949
MEM 1549.500000 1777130031.9955
MEM 1555.250000 1777130032.0960
MEM 1561.250000 1777130032.1964
MEM 1567.375000 1777130032.2968
MEM 1573.500000 1777130032.3973
MEM 1579.250000 1777130032.4977
